timestamp,open,high,low,close,adjusted close,volume,dividend amount
2020-03-27,94.6000,113.1500,90.5600,108.0300,108.0300,39907532,0.0000
2020-03-20,98.0000,107.4100,94.7100,95.3900,95.3900,47138046,0.0000
2020-03-13,120.1600,124.8800,100.8100,107.9500,107.9500,55580046,0.0000
2020-03-06,130.7500,136.0950,124.5200,127.7300,127.7300,35054761,0.0000
2020-02-28,145.5100,148.0500,126.3600,130.1500,130.1500,38480655,0.0000
2020-02-21,149.7900,151.8900,148.8400,149.8400,149.8400,12493166,0.0000
2020-02-14,152.9700,155.6000,149.7700,150.7000,150.7000,23423757,0.0000
2020-02-07,144.2500,158.7500,143.9000,153.4100,153.4100,43694755,1.6200
2020-01-31,138.5000,144.0500,134.9700,143.7300,142.2281,34661511,0.0000
2020-01-24,137.8100,145.7900,137.6000,140.5600,139.0912,34829367,0.0000
2020-01-17,135.4800,138.3300,135.0700,138.3100,136.8647,20831539,0.0000
2020-01-10,133.4200,137.8700,133.2000,136.6900,135.2616,17020619,0.0000
2020-01-03,135.2000,135.9200,132.4000,134.3400,132.9362,13418364,0.0000
2019-12-27,135.7800,136.1500,134.6100,135.2700,133.8565,8887084,0.0000
2019-12-20,134.9400,136.4200,133.4600,135.5900,134.1731,20036502,0.0000
2019-12-13,133.3500,135.6604,133.2600,134.2100,132.8076,17504239,0.0000
2019-12-06,134.4500,134.5000,130.6890,133.2200,131.8279,17337693,0.0000
2019-11-29,134.4700,136.1500,133.0300,134.4500,133.0451,11502959,0.0000
2019-11-22,134.3000,135.3800,132.7500,134.3400,132.9362,16963107,0.0000
2019-11-15,137.2000,137.2000,133.3300,134.4000,132.9956,16169172,0.0000
2019-11-08,136.2400,139.1350,136.1600,137.6100,136.1720,17174941,1.6200
2019-11-01,136.0000,136.6300,133.2000,135.5300,132.5542,16136475,0.0000
2019-10-25,132.6100,135.9300,130.9000,135.4400,132.4662,19388201,0.0000
2019-10-18,142.3100,143.7200,132.2500,134.0900,131.1458,34208011,0.0000
2019-10-11,142.2600,144.5000,138.2500,142.7600,139.6254,14096608,0.0000
2019-10-04,143.7300,147.3500,139.1800,142.9900,139.8504,15911420,0.0000
2019-09-27,141.1900,145.0900,140.5580,143.2400,140.0949,12376163,0.0000
2019-09-20,142.5600,145.0300,140.5100,141.8800,138.7648,15262993,0.0000
2019-09-13,140.5900,145.4600,140.4600,143.6700,140.5155,17776693,0.0000
2019-09-06,134.8500,141.6950,133.3301,140.5700,137.4835,12663912,0.0000
2019-08-30,131.0500,136.0700,129.1600,135.5300,132.5542,16211916,0.0000
2019-08-23,134.8800,136.3300,128.8300,129.5700,126.7251,16504912,0.0000
2019-08-16,135.6600,136.5700,130.2500,133.7600,130.8231,20933133,0.0000
2019-08-09,144.9800,145.1000,135.3500,136.1300,133.1410,28623442,1.6200
2019-08-02,151.1100,152.9500,145.5900,147.2500,142.3706,22876887,0.0000
2019-07-26,150.1600,151.9400,148.3800,151.3600,146.3444,16794485,0.0000
2019-07-19,142.8900,151.5800,141.9500,149.6800,144.7201,31893327,0.0000
2019-07-12,141.0500,142.9200,139.1300,142.7400,138.0101,13194248,0.0000
2019-07-05,139.6000,141.8200,139.2800,141.3800,136.6951,9862722,0.0000
2019-06-28,139.2000,140.1500,137.8400,137.9000,133.3304,15575818,0.0000
2019-06-21,135.3900,139.5400,134.7000,139.2000,134.5874,15851123,0.0000
2019-06-14,134.3800,136.4600,133.9100,135.1500,130.6716,13722199,0.0000
2019-06-07,127.1000,134.7200,127.0600,133.3100,128.8925,16193845,0.0000
2019-05-31,132.1300,132.6400,126.8500,126.9900,122.7820,14869322,0.0000
2019-05-24,133.5300,137.0600,130.4400,132.2800,127.8967,15557532,0.0000
2019-05-17,133.2800,136.1100,130.9600,134.3200,129.8691,16426011,0.0000
2019-05-10,138.3000,140.6900,132.4200,135.3200,130.8359,19509963,1.6200
2019-05-03,139.1500,141.8100,138.6800,140.2500,133.9986,16772230,0.0000
2019-04-26,139.4200,141.3100,137.7100,139.4400,133.2247,16961387,0.0000
2019-04-18,144.4000,145.3900,136.2600,140.3300,134.0751,27390537,0.0000
2019-04-12,143.0200,144.4400,141.8400,144.3500,137.9159,13675882,0.0000
2019-04-05,141.5100,144.2200,141.5100,143.2800,136.8936,14574262,0.0000
2019-03-29,139.0600,141.2200,138.3500,141.1000,134.8107,14257045,0.0000
2019-03-22,139.8300,142.1200,138.7200,139.4500,133.2343,17883337,0.0000
2019-03-15,136.0300,140.3300,135.8400,139.4300,133.2152,20959826,0.0000
2019-03-08,139.9900,140.0800,133.5800,135.0900,129.0686,18558647,0.0000
2019-03-01,140.0000,140.4900,137.7200,139.2000,132.9954,15273342,0.0000
2019-02-22,137.8100,139.3800,137.2203,139.2500,133.0432,13238819,0.0000
2019-02-15,134.2900,138.1850,133.9100,138.0300,131.8776,17299173,0.0000
2019-02-08,134.0200,136.6500,132.1200,133.7100,127.7501,21874687,1.5700
2019-02-01,133.1000,135.4149,132.5800,134.1000,126.6301,23585862,0.0000
2019-01-25,123.3000,135.0000,121.5400,133.9700,126.5073,44147478,0.0000
2019-01-18,120.5100,124.7175,119.7607,123.8200,116.9227,23616108,0.0000
2019-01-11,117.5000,121.8600,116.6700,121.4600,114.6942,19780844,0.0000
2019-01-04,113.3300,117.4900,111.6900,117.3200,110.7848,18047093,0.0000
2018-12-28,109.9000,114.8000,105.9400,113.0300,106.7338,21630293,0.0000
2018-12-21,119.0700,120.2700,110.4400,110.9400,104.7602,39485288,0.0000
2018-12-14,119.7400,123.8100,118.5200,119.9000,113.2211,23701178,0.0000
2018-12-07,125.6700,126.5900,118.8700,119.3400,112.6923,25801474,0.0000
2018-11-30,118.3700,124.6900,118.0600,124.2700,117.3476,27471124,0.0000
2018-11-23,121.6300,122.1800,116.6955,117.1900,110.6620,18035587,0.0000
2018-11-16,123.5000,123.5700,119.5100,121.5700,114.7980,23510061,0.0000
2018-11-09,116.1000,125.0600,116.0000,123.5400,116.6583,48482997,1.5700
2018-11-02,119.3400,123.9500,114.0900,115.6700,107.8543,87773431,0.0000
2018-10-26,129.5800,131.9000,123.7100,124.7900,116.3580,36964774,0.0000
2018-10-19,140.3800,145.4500,127.9600,129.1000,120.3768,50928336,0.0000
2018-10-12,148.5000,149.0700,138.7800,140.8500,131.3329,27703434,0.0000
2018-10-05,151.7100,154.3600,147.8700,149.0300,138.9601,18943237,0.0000
2018-09-28,151.1000,153.3500,148.3600,151.2100,140.9928,22847744,0.0000
2018-09-21,148.4400,152.6000,147.4700,151.3500,141.1234,37327961,0.0000
2018-09-14,146.6000,149.3000,145.2500,148.3300,138.3074,20298346,0.0000
2018-09-07,145.9800,147.6600,144.8100,145.4500,135.6220,15394651,0.0000
2018-08-31,146.9400,147.9300,145.2500,146.4800,136.5825,15929583,0.0000
2018-08-24,146.3700,147.1600,144.7500,146.0400,136.1722,12992907,0.0000
2018-08-17,144.1500,146.3900,142.0000,146.0600,136.1908,17890077,0.0000
2018-08-10,146.9500,147.6400,143.8800,144.4800,134.7176,17100909,1.5700
2018-08-03,144.8000,147.9200,142.3300,147.7000,136.2425,24366161,0.0000
2018-07-27,146.3500,149.2700,144.6600,145.1500,133.8903,19940363,0.0000
2018-07-20,145.6700,150.5400,142.7351,146.3500,134.9972,36572622,0.0000
2018-07-13,142.5900,146.9799,142.4700,145.9000,134.5821,17395351,0.0000
2018-07-06,138.2800,142.9400,138.2000,142.4800,131.4274,12024030,0.0000
2018-06-29,140.4000,141.3590,137.4500,139.7000,128.8631,25451478,0.0000
2018-06-22,144.1800,144.5200,140.7800,141.2800,130.3205,21004666,0.0000
2018-06-15,146.6200,147.5200,143.7000,145.3900,134.1117,21311072,0.0000
2018-06-08,142.3000,146.7000,142.1800,146.1400,134.8035,18618365,0.0000
2018-06-01,142.5300,143.1000,140.2100,141.9500,130.9385,20343954,0.0000
2018-05-25,144.9500,146.2040,142.9500,143.6400,132.4974,16951460,0.0000
2018-05-18,144.4700,145.1900,142.9200,144.0800,132.9033,16304020,0.0000
2018-05-11,144.0000,144.8500,141.2800,144.1400,132.9587,20021856,1.5700
2018-05-04,146.8600,147.3800,139.9000,143.9100,131.3010,23464605,0.0000
2018-04-27,145.0300,147.3600,144.1110,146.4800,133.6458,25028049,0.0000
2018-04-20,157.9900,162.0000,144.5100,144.9000,132.2043,51127683,0.0000
2018-04-13,151.8000,159.2200,151.7433,156.7100,142.9795,21372171,0.0000
2018-04-06,153.3400,154.9200,147.4500,150.5700,137.3775,20949699,0.0000
2018-03-29,151.2100,154.8697,150.2800,153.4300,139.9869,14934365,0.0000
2018-03-23,159.7100,159.8899,148.5410,148.8900,135.8447,21959274,0.0000
2018-03-16,159.6400,162.1122,157.7400,160.2600,146.2185,25076217,0.0000
2018-03-09,154.1200,159.5825,153.7500,159.3100,145.3517,22842811,0.0000
2018-03-02,155.8100,159.7800,151.8800,154.4900,140.9540,18831762,0.0000
2018-02-23,155.7900,156.7900,152.7900,155.5200,141.8938,14987102,0.0000
2018-02-16,150.9000,157.7905,149.6400,156.1800,142.4959,25701914,0.0000
2018-02-09,157.8900,158.5000,144.3955,149.5100,136.4103,38856237,1.5000
2018-02-02,167.4500,168.3900,158.8663,159.0300,143.6364,21842492,0.0000
2018-01-26,161.5100,168.7200,161.1100,167.3400,151.1420,28170112,0.0000
2018-01-19,165.1000,171.1300,161.3000,162.3700,146.6531,51246304,0.0000
2018-01-12,162.6600,164.9400,161.7010,163.1400,147.3486,22376145,0.0000
2018-01-05,154.5000,162.9000,153.5400,162.4900,146.7615,26160206,0.0000
2017-12-29,152.5100,154.7200,152.5000,153.4200,138.5694,10573732,0.0000
2017-12-22,153.4100,154.1800,151.4900,152.5000,137.7385,20045931,0.0000
2017-12-15,154.9700,157.8500,152.0300,152.5000,137.7385,31101402,0.0000
2017-12-08,155.6700,156.8000,153.2600,154.8100,139.8249,20236835,0.0000
2017-12-01,152.0600,155.0200,151.6200,154.7600,139.7797,24386604,0.0000
2017-11-24,150.6400,152.4500,149.9000,151.8400,137.1424,13728716,0.0000
2017-11-17,148.8800,150.1500,146.2110,148.9700,134.5502,23731918,0.0000
2017-11-10,151.7700,151.8200,149.1400,149.1600,134.7218,21896399,1.5000
2017-11-03,153.7600,154.9300,151.4900,151.5800,135.5547,19467703,0.0000
2017-10-27,162.0500,162.5100,152.9110,153.6800,137.4327,28529638,0.0000
2017-10-20,147.2200,162.4800,146.1800,162.0700,144.9357,56148944,0.0000
2017-10-13,146.5000,148.9500,146.3500,147.1000,131.5483,16128636,0.0000
2017-10-06,145.3500,147.5400,145.2100,146.4800,130.9939,12252293,0.0000
2017-09-29,145.1200,147.4200,144.2100,145.0800,129.7419,18131168,0.0000
2017-09-22,144.8100,145.8911,144.2200,145.1300,129.7866,16890140,0.0000
2017-09-15,143.5400,146.3800,143.0100,144.8200,129.5094,24882951,0.0000
2017-09-08,143.5000,144.6400,141.6400,142.4500,127.3899,13803467,0.0000
2017-09-01,144.1100,144.5600,141.9000,144.0800,128.8476,17765494,0.0000
2017-08-25,139.5900,144.1900,139.1300,143.7400,128.5436,15927109,0.0000
2017-08-18,142.0000,143.3400,139.5800,139.7000,124.9307,18585485,0.0000
2017-08-11,145.0000,145.0900,141.1900,141.8400,126.8444,18161288,1.5000
2017-08-04,144.3800,145.3900,144.1700,145.1600,128.4575,16503121,0.0000
2017-07-28,147.0000,147.4900,143.6400,144.2900,127.6876,21206630,0.0000
2017-07-21,153.5900,154.2900,146.5100,147.0800,130.1566,39223438,0.0000
2017-07-14,152.9100,154.6150,152.0500,154.2400,136.4928,15015697,0.0000
2017-07-07,153.5800,156.0250,152.1400,152.9400,135.3424,11462576,0.0000
2017-06-30,154.7100,155.7500,153.1400,153.8300,136.1299,13465670,0.0000
2017-06-23,155.5100,155.8600,153.3900,154.1100,136.3777,18294998,0.0000
2017-06-16,154.1900,157.2000,152.9400,155.3800,137.5016,23761609,0.0000
2017-06-09,151.8200,154.2650,150.8000,154.1000,136.3689,20653101,0.0000
2017-06-02,151.9500,153.2000,151.5900,152.0500,134.5548,13583558,0.0000
2017-05-26,152.1000,153.7300,151.2300,152.4900,134.9441,14563625,0.0000
2017-05-19,150.6200,154.1400,150.1100,151.9800,134.4928,23606431,0.0000
2017-05-12,152.8000,153.4700,149.7900,150.3700,133.0681,28432713,1.5000
2017-05-05,160.0500,160.4200,153.0000,155.0500,135.8777,28746997,0.0000
2017-04-28,161.2900,162.0400,159.6300,160.2900,140.4698,22585454,0.0000
2017-04-21,169.7500,171.6900,159.6000,160.3800,140.5486,22353091,0.0000
2017-04-13,172.5300,172.5600,168.9800,169.5300,148.5672,15162492,0.0000
2017-04-07,173.8200,176.3300,171.2800,172.1400,150.8545,20657952,0.0000
2017-03-31,172.6900,175.0000,172.0937,174.1400,152.6072,15949938,0.0000
2017-03-24,175.6500,176.2300,172.8000,173.8300,152.3355,16816026,0.0000
2017-03-17,177.8500,179.0000,174.7500,175.6500,153.9305,20678038,0.0000
2017-03-10,179.7200,181.2900,175.8800,177.8300,155.8409,18283618,0.0000
2017-03-03,181.1900,182.5500,179.2800,180.0500,157.7864,14713309,0.0000
2017-02-24,180.6000,182.5000,179.1200,181.3500,158.9256,13082284,0.0000
2017-02-17,179.2400,182.7900,178.3500,180.6700,158.3297,15587334,0.0000
2017-02-10,175.3100,178.8701,174.3800,178.6800,156.5858,15458288,1.4000
2017-02-03,176.9800,177.0700,172.8900,175.8200,152.8646,16952754,0.0000
2017-01-27,170.0800,179.2500,170.0100,177.3000,154.1514,24898161,0.0000
2017-01-20,166.6900,170.6400,165.8000,170.5500,148.2827,26891514,0.0000
2017-01-13,169.4700,169.8000,165.3400,167.3400,145.4918,16710843,0.0000
2017-01-06,167.0000,169.9200,166.0100,169.5300,147.3959,11943248,0.0000
2016-12-30,166.9800,167.9800,165.5000,165.9900,144.3181,7770697,0.0000
2016-12-23,166.8300,168.2500,165.2500,166.7100,144.9441,13209502,0.0000
2016-12-16,166.7200,169.9520,165.0700,166.7300,144.9614,23953742,0.0000
2016-12-09,160.8500,166.7200,158.9300,166.5200,144.7789,17154330,0.0000
2016-12-02,163.2000,164.6600,158.3000,160.0200,139.1275,19370850,0.0000
2016-11-25,160.6900,163.1900,160.3697,163.1400,141.8402,11269212,0.0000
2016-11-18,161.2500,161.8600,157.5500,160.3900,139.4492,16168917,0.0000
2016-11-11,153.9900,161.3400,151.0000,161.2700,140.2143,25292112,1.4000
2016-11-04,152.7600,154.3300,151.6700,152.4300,131.3435,15168515,0.0000
2016-10-28,150.4000,154.4400,149.8300,152.6100,131.4986,16009359,0.0000
2016-10-21,154.4500,155.8900,147.7900,149.6300,128.9308,31731091,0.0000
2016-10-14,156.7100,158.4900,152.2700,154.4500,133.0840,15614452,0.0000
2016-10-07,158.0600,158.5300,154.8600,155.6700,134.1352,11417766,0.0000
2016-09-30,154.4600,165.0000,153.4600,158.8500,136.8753,15801644,0.0000
2016-09-23,154.8700,157.2200,153.8700,154.9800,133.5407,12476162,0.0000
2016-09-16,155.2600,158.5300,153.2100,153.8400,132.5584,21990587,0.0000
2016-09-09,159.8800,161.7600,155.6500,155.6900,134.1525,15009419,0.0000
2016-09-02,158.8300,160.5700,158.1000,159.5500,137.4785,11286596,0.0000
2016-08-26,160.0000,161.3400,157.8500,158.3200,136.4187,13571765,0.0000
2016-08-19,162.4000,162.9700,159.5200,160.0400,137.9007,14873739,0.0000
2016-08-12,162.7300,164.9500,161.5200,161.9500,139.5465,19554950,1.4000
2016-08-05,160.6500,163.5100,159.8000,163.5100,139.6838,15067283,0.0000
2016-07-29,162.0000,163.6000,160.0300,160.6200,137.2150,13747991,0.0000
2016-07-22,159.3000,162.1700,157.8900,162.0700,138.4537,24775973,0.0000
2016-07-15,154.6000,161.4000,154.5000,159.7800,136.4974,18535456,0.0000
2016-07-08,151.1900,154.6000,149.9200,154.4600,131.9526,10213227,0.0000
2016-07-01,146.1800,152.9700,142.5000,152.3500,130.1500,19155814,0.0000
2016-06-24,152.6000,155.4800,146.1800,146.5900,125.2294,22214411,0.0000
2016-06-17,151.6300,152.7200,149.0000,151.9900,129.8425,15849580,0.0000
2016-06-10,153.0900,154.0900,151.8600,152.3700,130.1671,14920842,0.0000
2016-06-03,152.5600,153.8100,151.5400,152.8900,130.6114,13470239,0.0000
2016-05-27,147.6100,152.9300,146.6600,152.8400,130.5686,14910875,0.0000
2016-05-20,147.6500,149.9900,143.9550,147.2500,125.7932,16406443,0.0000
2016-05-13,147.7000,151.0900,147.0100,147.7200,126.1947,17034303,0.0000
2016-05-06,146.5600,147.9700,142.9000,147.2900,125.8274,21059912,1.4000
2016-04-29,148.1600,150.7800,144.1910,145.9400,123.5002,16956550,0.0000
2016-04-22,151.7500,153.1400,142.6100,148.5000,125.6666,37688644,0.0000
2016-04-15,150.2600,152.7600,148.5800,151.7200,128.3915,17443203,0.0000
2016-04-08,152.3400,153.5200,147.8100,149.3500,126.3859,18417556,0.0000
2016-04-01,147.7500,153.1000,147.2300,152.5200,129.0685,20439783,0.0000
