timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-03-27,108.5800,111.5000,107.6450,108.0300,108.0300,6421470,0.0000,1.0000
2020-03-26,106.9100,113.1500,105.5700,112.8900,112.8900,7153135,0.0000,1.0000
2020-03-25,105.4800,112.4779,102.8300,105.8500,105.8500,8646557,0.0000,1.0000
2020-03-24,99.9900,106.0400,99.2600,105.4800,105.4800,7967768,0.0000,1.0000
2020-03-23,94.6000,97.7400,90.5600,94.7700,94.7700,9718602,0.0000,1.0000
2020-03-20,100.9200,100.9900,94.7100,95.3900,95.3900,10543213,0.0000,1.0000
2020-03-19,102.3300,103.6900,98.2350,100.3400,100.3400,8391294,0.0000,1.0000
2020-03-18,99.4100,106.9345,99.4000,103.5500,103.5500,8751994,0.0000,1.0000
2020-03-17,100.6100,107.3950,97.1000,106.6500,106.6500,8887501,0.0000,1.0000
2020-03-16,98.0000,107.4100,95.0000,99.0800,99.0800,10564044,0.0000,1.0000
2020-03-13,108.6800,109.1600,100.8100,107.9500,107.9500,12493419,0.0000,1.0000
2020-03-12,109.6500,109.8000,102.2800,102.8100,102.8100,12485925,0.0000,1.0000
2020-03-11,121.0100,122.5800,116.3838,117.9700,117.9700,8446480,0.0000,1.0000
2020-03-10,122.7800,124.8800,115.7600,124.7700,124.7700,11403865,0.0000,1.0000
2020-03-09,120.1600,122.4100,117.2800,117.8100,117.8100,10750357,0.0000,1.0000
2020-03-06,126.7000,128.3300,124.5200,127.7300,127.7300,8192525,0.0000,1.0000
2020-03-05,130.5000,132.2900,128.4500,129.5500,129.5500,5445193,0.0000,1.0000
2020-03-04,131.5800,134.2800,129.0000,134.2200,134.2200,4994682,0.0000,1.0000
2020-03-03,134.4800,136.0950,127.8000,128.9000,128.9000,7893390,0.0000,1.0000
2020-03-02,130.7500,134.4400,127.9500,134.3000,134.3000,8528971,0.0000,1.0000
2020-02-28,129.9800,131.0900,126.3600,130.1500,130.1500,13009236,0.0000,1.0000
2020-02-27,137.2400,138.6900,133.0100,133.1100,133.1100,8404903,0.0000,1.0000
2020-02-26,142.9000,144.0600,139.6000,139.7500,139.7500,5407690,0.0000,1.0000
2020-02-25,146.5100,147.0700,141.2610,141.7100,141.7100,6210878,0.0000,1.0000
2020-02-24,145.5100,148.0500,145.3800,146.4300,146.4300,5447948,0.0000,1.0000
2020-02-21,151.0400,151.0400,148.8400,149.8400,149.8400,3536740,0.0000,1.0000
2020-02-20,150.8100,151.6200,149.5100,151.2200,151.2200,2880483,0.0000,1.0000
2020-02-19,151.5400,151.8900,150.3100,150.8600,150.8600,2732905,0.0000,1.0000
2020-02-18,149.7900,151.3800,149.6400,151.1000,151.1000,3343038,0.0000,1.0000
2020-02-14,154.4200,154.5600,149.7700,150.7000,150.7000,6095081,0.0000,1.0000
2020-02-13,154.3700,154.8300,153.4100,154.3100,154.3100,3819757,0.0000,1.0000
2020-02-12,153.7500,155.6000,153.5200,155.3100,155.3100,4437792,0.0000,1.0000
2020-02-11,155.1200,155.2200,152.7304,153.4800,153.4800,3833574,0.0000,1.0000
2020-02-10,152.9700,154.4400,151.5800,154.4300,154.4300,5237553,0.0000,1.0000
2020-02-07,154.5500,155.5400,152.9200,153.4100,153.4100,6414553,1.6200,1.0000
2020-02-06,156.8200,158.7500,155.4200,156.7600,155.1219,8394374,0.0000,1.0000
2020-02-05,150.2100,157.4400,150.1500,156.3300,154.6964,14379714,0.0000,1.0000
2020-02-04,147.7800,149.3800,146.8800,149.1100,147.5519,5619700,0.0000,1.0000
2020-02-03,144.2500,147.2800,143.9000,146.2700,144.7415,8886414,0.0000,1.0000
2020-01-31,142.9000,144.0500,140.7900,143.7300,142.2281,18987138,0.0000,1.0000
2020-01-30,136.7600,136.9700,134.9700,136.7700,135.3408,5007038,0.0000,1.0000
2020-01-29,139.1700,139.5800,137.5950,137.6900,136.2512,3053189,0.0000,1.0000
2020-01-28,139.5000,140.4700,138.7500,139.5500,138.0918,3449000,0.0000,1.0000
2020-01-27,138.5000,140.0690,138.1000,138.6200,137.1715,4165146,0.0000,1.0000
2020-01-24,143.3900,143.9200,140.4600,140.5600,139.0912,5579292,0.0000,1.0000
2020-01-23,144.2000,144.4097,142.1500,142.8700,141.3771,5654308,0.0000,1.0000
2020-01-22,143.3200,145.7900,142.5500,143.8900,142.3864,16464948,0.0000,1.0000
2020-01-21,137.8100,139.3500,137.6000,139.1700,137.7157,7130819,0.0000,1.0000
2020-01-17,136.5400,138.3300,136.1600,138.3100,136.8647,5622251,0.0000,1.0000
2020-01-16,137.3200,138.1900,137.0100,137.9800,136.5382,4319896,0.0000,1.0000
2020-01-15,136.0000,138.0550,135.7100,136.6200,135.1924,4045591,0.0000,1.0000
2020-01-14,136.2800,137.1390,135.5500,135.8200,134.4007,3680958,0.0000,1.0000
2020-01-13,135.4800,136.6400,135.0700,136.6000,135.1726,3162843,0.0000,1.0000
2020-01-10,137.0000,137.8700,136.3100,136.6900,135.2616,3255398,0.0000,1.0000
2020-01-09,135.7400,136.7900,135.3100,136.7400,135.3111,3730549,0.0000,1.0000
2020-01-08,134.5100,135.8600,133.9200,135.3100,133.8961,4345952,0.0000,1.0000
2020-01-07,133.6900,134.9600,133.4000,134.1900,132.7878,3267592,0.0000,1.0000
2020-01-06,133.4200,134.2400,133.2000,134.1000,132.6987,2421128,0.0000,1.0000
2020-01-03,133.5700,134.8600,133.5600,134.3400,132.9362,2373470,0.0000,1.0000
2020-01-02,135.0000,135.9200,134.7701,135.4200,134.0049,3148461,0.0000,1.0000
2019-12-31,132.5300,134.1200,132.4000,134.0400,132.6393,3777504,0.0000,1.0000
2019-12-30,135.2000,135.3000,132.5000,132.8100,131.4222,4118929,0.0000,1.0000
2019-12-27,135.0000,135.7500,134.8700,135.2700,133.8565,2752185,0.0000,1.0000
2019-12-26,134.9800,135.3055,134.6500,134.9100,133.5002,2129654,0.0000,1.0000
2019-12-24,135.6100,135.6200,134.6100,134.9800,133.5695,1202087,0.0000,1.0000
2019-12-23,135.7800,136.1500,135.0000,135.5500,134.1336,2803158,0.0000,1.0000
2019-12-20,135.7400,136.4200,134.9500,135.5900,134.1731,7111779,0.0000,1.0000
2019-12-19,134.4600,134.7250,134.1900,134.5600,133.1539,3866494,0.0000,1.0000
2019-12-18,134.5500,135.0000,134.1504,134.4100,133.0055,3101819,0.0000,1.0000
2019-12-17,134.2800,134.6900,133.4600,134.2200,132.8175,2907186,0.0000,1.0000
2019-12-16,134.9400,135.4500,133.8500,134.1300,132.7284,3049224,0.0000,1.0000
2019-12-13,134.7500,135.5000,134.0100,134.2100,132.8076,2534970,0.0000,1.0000
2019-12-12,133.7000,135.6604,133.6600,135.3200,133.9060,4824103,0.0000,1.0000
2019-12-11,134.1100,134.5100,133.6700,133.7600,132.3623,3698494,0.0000,1.0000
2019-12-10,133.9200,134.8400,133.5600,133.9100,132.5107,3478362,0.0000,1.0000
2019-12-09,133.3500,134.5900,133.2600,133.9200,132.5206,2968310,0.0000,1.0000
2019-12-06,132.7500,133.8900,132.7000,133.2200,131.8279,3437438,0.0000,1.0000
2019-12-05,132.9900,133.2400,131.6264,131.9100,130.5316,3595312,0.0000,1.0000
2019-12-04,132.8600,133.6800,131.9600,131.9900,130.6108,3530028,0.0000,1.0000
2019-12-03,132.0000,132.4400,130.6890,132.1200,130.7394,3708102,0.0000,1.0000
2019-12-02,134.4500,134.5000,132.4800,132.9100,131.5211,3066813,0.0000,1.0000
2019-11-29,133.6000,134.5200,133.0300,134.4500,133.0451,1825255,0.0000,1.0000
2019-11-27,135.3500,135.7100,133.6200,133.7700,132.3722,3280699,0.0000,1.0000
2019-11-26,136.1500,136.1500,134.7700,135.0900,133.6784,3806859,0.0000,1.0000
2019-11-25,134.4700,136.0000,134.3500,135.9700,134.5492,2590146,0.0000,1.0000
2019-11-22,134.1900,134.6500,133.5900,134.3400,132.9362,3297397,0.0000,1.0000
2019-11-21,133.4000,134.1700,132.9800,133.8400,132.4414,3322158,0.0000,1.0000
2019-11-20,134.0600,134.4614,132.7500,133.2000,131.8081,4138165,0.0000,1.0000
2019-11-19,134.8800,135.3800,134.4600,134.5200,133.1143,2995004,0.0000,1.0000
2019-11-18,134.3000,134.4800,133.2300,134.3100,132.9065,3210383,0.0000,1.0000
2019-11-15,134.3900,135.1200,134.0300,134.4000,132.9956,3262504,0.0000,1.0000
